"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","mmu04978","Mineral absorption","9/436","49/7024",0.183673469387755,2.95899644261374,3.53987042318985,0.00279674555709171,0.0124392563584079,0.00918334362030115,"17750/17748/71775/15368/27222/67821/22337/70358/72027",9
"Organismal Systems","Immune system","mmu04662","B cell receptor signaling pathway","11/436","68/7024",0.161764705882353,2.60604425256341,3.42341824452632,0.00285203406276328,0.0124986198632861,0.00922716902658708,"68713/83490/22324/18035/19697/19354/18733/14130/18037/14728/12517",11
"Organismal Systems","Immune system","mmu04613","Neutrophil extracellular trap formation","18/436","144/7024",0.125,2.01376146788991,3.16191791039454,0.00333864034872942,0.0144190554191502,0.0106449402423257,"20344/12363/170743/246256/24088/14289/12273/19697/13058/15081/19354/12266/14293/69146/11596/16399/16409/16408",18
"Human Diseases","Cancer: overview","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","12/436","80/7024",0.15,2.41651376146789,3.27784730878308,0.0035760132513764,0.0152235992701452,0.0112388987900401,"24088/74481/20848/17874/18035/19697/60533/20846/117149/18037/13645/16818",12
"Human Diseases","Immune disease","mmu05322","Systemic lupus erythematosus","12/436","83/7024",0.144578313253012,2.32916989057146,3.13354764397441,0.00485884937639773,0.0203934804812186,0.015055589617007,"246256/50908/20821/21926/15081/12266/110382/50909/230558/12263/16153/21939",12
"Human Diseases","Infectious disease: bacterial","mmu05135","Yersinia infection","16/436","129/7024",0.124031007751938,1.99815091387526,2.94341644667517,0.00593980010317165,0.0245841726492382,0.0181493892041356,"11867/23880/16822/21926/17874/22324/18035/19697/19354/16193/20293/66824/216799/16176/16153/16818",16
"Organismal Systems","Endocrine system","mmu04920","Adipocytokine signaling pathway","10/436","65/7024",0.153846153846154,2.47847565278758,3.08052842644214,0.00630313492075866,0.0257306055669326,0.018995749076259,"21937/384783/20848/12702/21926/18035/19697/21938/18037/78625",10
NA,NA,"mmu04518","Integrin signaling","17/436","142/7024",0.119718309859155,1.92867295516217,2.87592409780047,0.00663995181930201,0.0267392654344865,0.0197403973006276,"12826/12827/16776/18654/22329/15894/19354/12266/16782/16398/21825/17123/16399/13645/16409/21828/16408",17
"Cellular Processes","Cell growth and death","mmu04215","Apoptosis - multiple species","6/436","30/7024",0.2,3.22201834862385,3.13742416928781,0.00916532786527713,0.0360996504477186,0.0266507486526781,"21937/58801/11796/12122/12370/11799",6
"Cellular Processes","Cell growth and death","mmu04216","Ferroptosis","7/436","39/7024",0.17948717948718,2.89155492825218,3.04716407168723,0.00920662226183426,0.0360996504477186,0.0266507486526781,"12870/213053/17254/71775/13058/15368/26570",7
NA,NA,"mmu04382","Cornified envelope formation","13/436","103/7024",0.12621359223301,2.03331255010243,2.71765094664952,0.0108738996023136,0.0420829232792638,0.0310679299377115,"12826/12827/23801/16776/16782/20195/21816/67855/20194/19143/20201/20202/545975",13
"Organismal Systems","Sensory system","mmu04740","Olfactory transduction","9/436","60/7024",0.15,2.41651376146789,2.83461986036321,0.0110149933415523,0.0420829232792638,0.0310679299377115,"258783/258436/258989/259144/211472/546896/258463/258469/258837",9
